number,closed_at,created_at,timestamp
2356,"2023-07-05T10:49:09Z","2023-07-05T09:37:15Z","2023-07-07T10:17:24Z"
2355,,"2023-07-04T19:45:47Z","2023-07-07T10:17:25Z"
2351,"2023-06-29T13:34:19Z","2023-06-28T15:18:55Z","2023-07-07T10:17:26Z"
2350,,"2023-06-26T19:26:31Z","2023-07-07T10:17:27Z"
2349,"2023-06-26T16:42:58Z","2023-06-26T15:53:56Z","2023-07-07T10:17:28Z"
2346,"2023-06-29T11:44:16Z","2023-06-23T16:17:33Z","2023-07-07T10:17:29Z"
2345,"2023-07-05T17:18:17Z","2023-06-22T12:37:33Z","2023-07-07T10:17:30Z"
2344,"2023-06-23T14:44:27Z","2023-06-22T10:31:00Z","2023-07-07T10:17:31Z"
2342,"2023-06-23T13:03:38Z","2023-06-21T14:39:10Z","2023-07-07T10:17:32Z"
2341,"2023-06-23T13:03:55Z","2023-06-21T13:06:10Z","2023-07-07T10:17:33Z"
2339,"2023-06-22T10:12:27Z","2023-06-20T17:04:58Z","2023-07-07T10:17:34Z"
2337,"2023-06-22T12:36:23Z","2023-06-20T14:18:20Z","2023-07-07T10:17:35Z"
2335,"2023-06-19T10:02:42Z","2023-06-16T18:14:51Z","2023-07-07T10:17:36Z"
2331,"2023-06-13T13:13:30Z","2023-06-12T13:16:02Z","2023-07-07T10:17:37Z"
2330,,"2023-06-12T10:15:43Z","2023-07-07T10:17:38Z"
2328,"2023-06-13T13:37:26Z","2023-06-12T09:22:24Z","2023-07-07T10:17:39Z"
2327,,"2023-06-09T17:25:57Z","2023-07-07T10:17:40Z"
2325,"2023-06-14T11:53:48Z","2023-06-09T11:52:57Z","2023-07-07T10:17:41Z"
2322,"2023-06-14T11:53:03Z","2023-06-05T10:13:29Z","2023-07-07T10:17:42Z"
2321,,"2023-06-04T15:13:59Z","2023-07-07T10:17:43Z"
2316,"2023-05-26T12:45:49Z","2023-05-25T19:58:09Z","2023-07-07T10:17:44Z"
2315,"2023-05-25T19:40:02Z","2023-05-25T14:33:16Z","2023-07-07T10:17:45Z"
2314,"2023-05-25T14:11:38Z","2023-05-25T14:04:48Z","2023-07-07T10:17:46Z"
2311,"2023-05-25T14:31:16Z","2023-05-19T18:55:13Z","2023-07-07T10:17:47Z"
2310,"2023-05-22T12:40:01Z","2023-05-18T17:39:30Z","2023-07-07T10:17:48Z"
2307,"2023-05-25T19:36:37Z","2023-05-18T03:04:40Z","2023-07-07T10:17:49Z"
2306,"2023-05-17T09:53:24Z","2023-05-16T15:21:01Z","2023-07-07T10:17:50Z"
2305,"2023-05-17T10:32:30Z","2023-05-16T12:35:24Z","2023-07-07T10:17:51Z"
2304,"2023-05-15T03:45:26Z","2023-05-15T03:42:34Z","2023-07-07T10:17:52Z"
2303,,"2023-05-14T15:31:13Z","2023-07-07T10:17:53Z"
2299,"2023-05-12T09:57:40Z","2023-05-12T09:23:45Z","2023-07-07T10:17:54Z"
2298,,"2023-05-12T03:59:49Z","2023-07-07T10:17:55Z"
2297,"2023-05-11T11:25:51Z","2023-05-10T11:56:07Z","2023-07-07T10:17:56Z"
2291,"2023-05-10T17:13:38Z","2023-05-02T13:05:40Z","2023-07-07T10:17:57Z"
2289,"2023-05-01T10:37:09Z","2023-04-30T23:13:30Z","2023-07-07T10:17:58Z"
2277,"2023-04-18T12:19:19Z","2023-04-17T20:30:32Z","2023-07-07T10:17:59Z"
2274,"2023-04-17T13:12:20Z","2023-04-16T13:39:57Z","2023-07-07T10:18:00Z"
2273,"2023-05-02T13:58:24Z","2023-04-14T18:05:04Z","2023-07-07T10:18:01Z"
2272,"2023-05-08T14:03:24Z","2023-04-14T18:02:34Z","2023-07-07T10:18:02Z"
2268,"2023-04-19T16:15:55Z","2023-04-11T19:18:34Z","2023-07-07T10:18:03Z"
2266,"2023-04-10T17:25:02Z","2023-04-10T11:36:52Z","2023-07-07T10:18:04Z"
2262,"2023-04-07T09:44:57Z","2023-04-04T14:43:31Z","2023-07-07T10:18:05Z"
2255,"2023-04-25T11:50:16Z","2023-04-02T11:56:38Z","2023-07-07T10:18:06Z"
2253,,"2023-03-30T14:36:22Z","2023-07-07T10:18:07Z"
2252,"2023-03-29T16:18:55Z","2023-03-29T15:27:36Z","2023-07-07T10:18:08Z"
2248,"2023-03-27T13:34:44Z","2023-03-25T06:02:09Z","2023-07-07T10:18:09Z"
2243,"2023-03-21T16:58:08Z","2023-03-21T10:02:49Z","2023-07-07T10:18:10Z"
2242,"2023-04-20T10:18:38Z","2023-03-20T18:13:28Z","2023-07-07T10:18:11Z"
2239,,"2023-03-17T16:09:14Z","2023-07-07T10:18:12Z"
2235,"2023-05-09T18:42:58Z","2023-03-15T20:11:38Z","2023-07-07T10:18:13Z"
2234,"2023-05-10T14:35:37Z","2023-03-15T19:38:02Z","2023-07-07T10:18:14Z"
2232,"2023-04-20T13:18:47Z","2023-03-15T03:03:31Z","2023-07-07T10:18:15Z"
